team_id,team_name,school_name,city_state,region,section,competition_level,gender_division,team_page_url,wins,losses,games_scraped
MS8gsVFagymzmB5WMrscf2pbbFQrorVGhzdwTeI62Oo=,Grand Trunk-A,,"Toronto, Ontario CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=MS8gsVFagymzmB5WMrscf2pbbFQrorVGhzdwTeI62Oo%3d,0,0,0
l5BGaiznk6IYoHjv+J60mMVrZe0F91+v6kKb55YbTtM=,Green Mountain Boys,,"South Burlington, Vermont",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=l5BGaiznk6IYoHjv%2bJ60mMVrZe0F91%2bv6kKb55YbTtM%3d,7,9,16
S4kCTgFLwM5E0eNMv0E3yjg9uDS6s3laxZ/Qu03unBw=,GVL Trout,,"Greenville, South Carolina",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=S4kCTgFLwM5E0eNMv0E3yjg9uDS6s3laxZ%2fQu03unBw%3d,14,12,26
iyHJxVmYqrcZnjh11a4PHtGLKz6mmXKLezy+rIU3FXI=,H.I.P,,"Texas City, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=iyHJxVmYqrcZnjh11a4PHtGLKz6mmXKLezy%2brIU3FXI%3d,18,5,23
zCCkYfzYmniFt0UQltM2KxaXheXugmKzNny5Uay5oxw=,Happy Valley Roofing and Mustache Supply,,"State College, Pennsylvania",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=zCCkYfzYmniFt0UQltM2KxaXheXugmKzNny5Uay5oxw%3d,9,7,16
7Eed9FzJjNaQUgpwgrYDPLMvIzNzClHopsJgGXmgQXw=,happyBOISE-JV,,"Madison, Wisconsin",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=7Eed9FzJjNaQUgpwgrYDPLMvIzNzClHopsJgGXmgQXw%3d,3,2,5
0QJ2KplKgDFe8dDcSPsWVz8vR8sB0Ebeu8kEUTYzVDc=,Harvest Moon,,"Cumming, Georgia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=0QJ2KplKgDFe8dDcSPsWVz8vR8sB0Ebeu8kEUTYzVDc%3d,9,8,18
mqI0h0nLUfAsqgKU6L3o/Hmbo16o2o/ZARjaomA1l1Q=,Havoc,,"Hartford, Connecticut",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=mqI0h0nLUfAsqgKU6L3o%2fHmbo16o2o%2fZARjaomA1l1Q%3d,0,6,6
IMIDuNC7RP2rintB0Ru1MSrSAZ04ZhzI07HEWNnugb8=,Haymaker,,"Chicago, Illinois",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=IMIDuNC7RP2rintB0Ru1MSrSAZ04ZhzI07HEWNnugb8%3d,15,14,29
MjYjeF7mGfTeAsRl/PbSgrwilIzr41FkIBzKqewpNio=,Hazard,,"Los Angeles, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=MjYjeF7mGfTeAsRl%2fPbSgrwilIzr41FkIBzKqewpNio%3d,13,10,23
MBw3zRsk+m/74414cwjiUENj47MRUmegfIC2Guk/5aY=,Hazard,,"Pittsburgh, Pennsylvania",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=MBw3zRsk%2bm%2f74414cwjiUENj47MRUmegfIC2Guk%2f5aY%3d,11,13,24
3KgLf7lqInvDAq5BZG1hgQSmb+IdEBF7aWV0W3zyxKo=,HB Woodlawn Flatball Club,,"Arlington, Virginia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=3KgLf7lqInvDAq5BZG1hgQSmb%2bIdEBF7aWV0W3zyxKo%3d,0,4,4
GD02N6HR13Nyk2lP1awlXnXrU/DN2uLP5Up0vw2Xhv8=,Heartbreak,,"Spokane, Washington",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=GD02N6HR13Nyk2lP1awlXnXrU%2fDN2uLP5Up0vw2Xhv8%3d,2,13,15
ql6uWYBqdORPBBcnsqor6SPbUz1o3MRGa1j+W43YHQY=,Heatwave,,"Austin, Texas",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ql6uWYBqdORPBBcnsqor6SPbUz1o3MRGa1j%2bW43YHQY%3d,4,6,10
ryWyvvS9FkY0rLJ2puiGX68ij9FIyYwgo99wZwTxMbI=,Hex Panthers-C,,"Chattanooga, Tennessee",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ryWyvvS9FkY0rLJ2puiGX68ij9FIyYwgo99wZwTxMbI%3d,0,5,5
oqwk//xNHYcBuDx6uBJLAsCl0DMG7H20RhFuE3xwePY=,Hooch,,"Atlanta, Georgia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=oqwk%2f%2fxNHYcBuDx6uBJLAsCl0DMG7H20RhFuE3xwePY%3d,12,12,24
wCo1U/6vYXC40/V64eOTuPWU0kZbg74PqCQg80GluUE=,Houndd,,"Durham Region, Ontario CA",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=wCo1U%2f6vYXC40%2fV64eOTuPWU0kZbg74PqCQg80GluUE%3d,19,5,24
hEs/wXhWo4pX7pXi9QllA7vclw4A6zo68kUwN1oUbDA=,Hydra,,"Winston-Salem, North Carolina",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=hEs%2fwXhWo4pX7pXi9QllA7vclw4A6zo68kUwN1oUbDA%3d,2,3,5
iOHvZ16c0o/lSqx5Tek+ngZd0vWgjpI7U4wR4siK0vU=,I-69,,"Indianapolis, Indiana",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=iOHvZ16c0o%2flSqx5Tek%2bngZd0vWgjpI7U4wR4siK0vU%3d,20,3,23
0/ROF+6pVhgdevTIj1OVHsPKIEdTuaX5lWXG0TYo5LQ=,ISO Atmo,,"Boulder, Colorado",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=0%2fROF%2b6pVhgdevTIj1OVHsPKIEdTuaX5lWXG0TYo5LQ%3d,25,13,38
VXZWhs+2lOVjGG+R8ZZR1GyZ9FeFAgMinxTOoBo2Yss=,JAWN,,"Philadelphia, Pennsylvania",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=VXZWhs%2b2lOVjGG%2bR8ZZR1GyZ9FeFAgMinxTOoBo2Yss%3d,0,0,0
RUwicACjCF1mtKeu7KvG8/DKkHlICjERHGfvv7NQ1qA=,Jen City Executives,,"Jen City, Washington",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=RUwicACjCF1mtKeu7KvG8%2fDKkHlICjERHGfvv7NQ1qA%3d,5,0,5
rNrUqITErrkthb7F1+ufpNDKk972O4eJNCzJUpvm754=,Jiggalos,,"Philadelphia , Pennsylvania",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=rNrUqITErrkthb7F1%2bufpNDKk972O4eJNCzJUpvm754%3d,0,0,0
0Gyvy5gSH/0vlHfvaVXnxDOW3XLen6VXftlArJffHOQ=,John Doe,,"Washington, District of Columbia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=0Gyvy5gSH%2f0vlHfvaVXnxDOW3XLen6VXftlArJffHOQ%3d,21,10,31
8iDepxEhbP6REvdSvF7P5/s0Rq6LzpascjIPjPWe4zk=,Johnny Bravo,,"Colorado, Colorado",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=8iDepxEhbP6REvdSvF7P5%2fs0Rq6LzpascjIPjPWe4zk%3d,18,12,30
4GcrdxALef+I2k306333UvCv2v50dlr9WJbwu3MPZ1c=,Jolly Roger,,"Newport News, Virginia",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=4GcrdxALef%2bI2k306333UvCv2v50dlr9WJbwu3MPZ1c%3d,1,13,14
8S1D4LrfDWLNacpi3Hyjvv5084Vwjb9+Yg9iRzngt8E=,Journeymen,,"Sunnyvale, California",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=8S1D4LrfDWLNacpi3Hyjvv5084Vwjb9%2bYg9iRzngt8E%3d,3,4,7
Qc03HPFW0DdFDPdcm8P5RGsblbidZkRSZ8VVViiAs5A=,Junco,,"Portland, Oregon",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=Qc03HPFW0DdFDPdcm8P5RGsblbidZkRSZ8VVViiAs5A%3d,10,14,24
uT4hRhFiH9db7oGspTk52TG2wyIk+EdgoHHUS7unvwg=,Kansas City Northern Lines,,"Gladstone, Missouri",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=uT4hRhFiH9db7oGspTk52TG2wyIk%2bEdgoHHUS7unvwg%3d,3,11,14
ynvrj3CmndZS7yKnY62/pvfrJSrGUuaX0A07Wqoz+g0=,Kansas City Smokestack,,"Kansas City, Missouri",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=ynvrj3CmndZS7yKnY62%2fpvfrJSrGUuaX0A07Wqoz%2bg0%3d,18,11,29
PlCTuHZyKCVCqnsngJxZAfh5Gf+AnuVx2ewUqvP5Pc8=,Kenji's BBB,,"Roseville, Minnesota",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=PlCTuHZyKCVCqnsngJxZAfh5Gf%2bAnuVx2ewUqvP5Pc8%3d,3,2,5
16WiP0TgFY0e7lqkWT+7611xwuwTjh31cE2je8tbl0c=,KFC,,"Stevens Point & Fox Cities, Wisconsin",,,Club,Men,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=16WiP0TgFY0e7lqkWT%2b7611xwuwTjh31cE2je8tbl0c%3d,0,0,0
